,0
2018-03-01,23.440500259399414
2018-04-01,21.856400299072266
2018-05-01,21.3125
2018-06-01,21.914999961853027
2018-07-01,23.960599899291992
2018-08-01,25.233749866485596
2018-09-01,23.233750343322754
2018-10-01,21.986999893188475
2018-11-01,16.278000116348267
2018-12-01,18.290999984741212
2019-01-01,15.583750247955322
2019-02-01,10.961250066757202
2019-03-01,10.08525013923645
2019-04-01,10.718400192260741
2019-05-01,12.182499885559082
2019-06-01,12.629999876022339
2019-07-01,16.24799976348877
2019-08-01,18.982749938964844
2019-09-01,20.1810001373291
2019-10-01,19.90250015258789
2019-11-01,17.111249923706055
2019-12-01,15.753000259399414
2020-01-01,11.726249933242798
2020-02-01,8.912500143051147
2020-03-01,6.5100000381469725
2020-04-01,6.492499947547913
2020-05-01,4.575000047683716
2020-06-01,6.949000072479248
2020-07-01,8.007499814033508
2020-08-01,8.400000095367432
2020-09-01,8.02999997138977
2020-10-01,7.259999990463257
2020-11-01,6.576000022888183
2020-12-01,7.474999904632568
2021-01-01,10.680000066757202
2021-02-01,12.47000002861023
2021-03-01,17.752000045776366
2021-04-01,20.732500553131104
2021-05-01,24.44200019836426
2021-06-01,27.929999828338623
2021-07-01,26.047500133514404
2021-08-01,28.381999969482422
2021-09-01,32.55750036239624
2021-10-01,34.19250011444092
2021-11-01,24.957999801635744
2021-12-01,27.08750009536743
2022-01-01,22.774000549316405
2022-02-01,23.952499866485596
2022-03-01,25.437499523162842
2022-04-01,22.09999990463257
2022-05-01,23.1560001373291
2022-06-01,18.505000114440918
2022-07-01,14.575000047683716
2022-08-01,9.530000114440918
2022-09-01,9.252500057220459
2022-10-01,8.630000019073487
2022-11-01,7.702499985694885
2022-12-01,9.217499732971191
2023-01-01,8.746000003814697
2023-02-01,7.792500019073486
2023-03-01,10.005000114440918
2023-04-01,9.230000019073486
2023-05-01,7.227999973297119
2023-06-01,6.044999957084656
2023-07-01,4.894000053405762
2023-08-01,5.115000009536743
2023-09-01,5.450000047683716
2023-10-01,5.55
2023-11-01,7.419999957084656
2023-12-01,10.15499997138977
2024-01-01,10.67800006866455
2024-02-01,13.901750087738037
2024-03-01,15.279999732971191
2024-04-01,13.279999923706054
2024-05-01,12.667499780654907
2024-06-01,11.90750002861023
2024-07-01,11.434000015258789
2024-08-01,10.729999780654907
2024-09-01,10.423999977111816
2024-10-01,8.227499961853027
2024-11-01,7.632499933242798
2024-12-01,6.233999919891358
2025-01-01,5.832499861717224
2025-02-01,6.055000066757202
2025-03-01,6.4819999694824215
2025-04-01,5.7825000286102295
2025-05-01,5.31850004196167
2025-06-01,5.704799938201904
2025-07-01,7.275000095367432
2025-08-01,8.150000095367432
2025-09-01,8.014000034332275
2025-10-01,8.072500109672546
2025-11-01,8.667500257492065
2025-12-01,8.718000030517578
2026-01-01,10.134999990463257
2026-02-01,11.484999656677246
2026-03-01,10.268000030517578
2026-04-01,11.19249963760376
2026-05-01,12.725250005722046
2026-06-01,12.026000022888184
2026-07-01,12.992000007629395
