,0
2022-03-01,112500.0
2022-04-01,108000.0
2022-05-01,91000.0
2022-06-01,97900.0
2022-07-01,95200.0
2022-08-01,83100.0
2022-09-01,82700.0
2022-10-01,85000.0
2022-11-01,75000.0
2022-12-01,88500.0
2023-01-01,89400.0
2023-02-01,88600.0
2023-03-01,89500.0
2023-04-01,108600.0
2023-05-01,115200.0
2023-06-01,123400.0
2023-07-01,121800.0
2023-08-01,114700.0
2023-09-01,116300.0
2023-10-01,133900.0
2023-11-01,141500.0
2023-12-01,134700.0
2024-01-01,156200.0
2024-02-01,183000.0
2024-03-01,174200.0
2024-04-01,189200.0
2024-05-01,236500.0
2024-06-01,194600.0
2024-07-01,173700.0
2024-08-01,174600.0
2024-09-01,186300.0
2024-10-01,159900.0
2024-11-01,173900.0
2024-12-01,199200.0
2025-01-01,190200.0
2025-02-01,190700.0
2025-03-01,177500.0
2025-04-01,204500.0
2025-05-01,292000.0
2025-06-01,273500.0
2025-07-01,269000.0
2025-08-01,347500.0
2025-09-01,559000.0
2025-10-01,530000.0
2025-11-01,651000.0
2025-12-01,909000.0
2026-01-01,1061000.0
2026-02-01,807000.0
2026-03-01,1286000.0
2026-04-01,2333000.0
2026-05-01,2650000.0
2026-06-01,1718000.0
