date,actual,forecast
2023-05-01,52508560000.0,50621085164.353165
2023-06-01,53102840000.0,52249744974.637695
2023-07-01,50325140000.0,53422901562.77975
2023-08-01,52798740000.0,52114636923.69287
2023-09-01,53309220000.0,53675429120.132965
2023-10-01,55089310000.0,53191283651.430885
2023-11-01,55584030000.0,54294974508.790634
2023-12-01,55007720000.0,54578143356.806274
2024-01-01,58593400000.0,54852289542.4406
2024-02-01,56964890000.0,58519300798.656395
2024-03-01,54649730000.0,58077606680.50831
2024-04-01,56309620000.0,56546672856.44929
2024-05-01,58212100000.0,57329546526.84189
2024-06-01,56415540000.0,58265477678.58422
2024-07-01,57107010000.0,56922868058.828125
2024-08-01,58465010000.0,56229553686.512436
2024-09-01,57196750000.0,56458109109.938
2024-10-01,57115390000.0,55467125296.14249
2024-11-01,57260880000.0,55388226585.2669
2024-12-01,57205970000.0,55832233510.31841
2025-01-01,53948150000.0,56481931773.85213
2025-02-01,56233440000.0,54206008302.078186
2025-03-01,56973670000.0,54397480218.683235
2025-04-01,57667910000.0,54675755289.941505
2025-05-01,57802680000.0,56919924277.6863
2025-06-01,58919450000.0,58200071453.559326
2025-07-01,59904890000.0,58841300275.66248
2025-08-01,59857020000.0,60394285421.01744
2025-09-01,63211650000.0,63964487143.52784
2025-10-01,60119950000.0,64723250626.98627
2025-11-01,61021530000.0,63012139824.57829
2025-12-01,65440510000.0,63382149008.50393
2026-01-01,71375370000.0,69289964839.08652
2026-02-01,73494880000.0,71097176122.22012
2026-03-01,84813810000.0,84011249619.35704
2026-04-01,85811990000.0,101692409679.76553
