date,actual,forecast
2023-05-01,52508560000.0,52926585010.120674
2023-06-01,53102840000.0,50844989488.16334
2023-07-01,50325140000.0,52709310041.580635
2023-08-01,52798740000.0,51633318633.64844
2023-09-01,53309220000.0,51344010187.91997
2023-10-01,55089310000.0,52041755164.86231
2023-11-01,55584030000.0,54980749930.17978
2023-12-01,55007720000.0,55060174575.20999
2024-01-01,58593400000.0,55105625748.42823
2024-02-01,56964890000.0,58121820896.39513
2024-03-01,54649730000.0,57248844295.26701
2024-04-01,56309620000.0,55854088975.79153
2024-05-01,58212100000.0,56124458105.29876
2024-06-01,56415540000.0,56600478295.20494
2024-07-01,57107010000.0,58000976371.40742
2024-08-01,58465010000.0,56130908136.30483
2024-09-01,57196750000.0,56601969430.26875
2024-10-01,57115390000.0,56479929101.819336
2024-11-01,57260880000.0,56518507376.16428
2024-12-01,57205970000.0,56584824279.18703
2025-01-01,53948150000.0,56304274948.32756
2025-02-01,56233440000.0,53495503659.51679
2025-03-01,56973670000.0,56892914417.51416
2025-04-01,57667910000.0,54267078699.8104
2025-05-01,57802680000.0,56297222681.51183
2025-06-01,58919450000.0,57084529775.50004
2025-07-01,59904890000.0,58169111042.41198
2025-08-01,59857020000.0,57431249825.63594
2025-09-01,63211650000.0,59187867902.51133
2025-10-01,60119950000.0,53446236755.65547
2025-11-01,61021530000.0,53307416347.31658
2025-12-01,65440510000.0,55896890785.80225
2026-01-01,71375370000.0,62035840957.02905
2026-02-01,73494880000.0,65097046233.06463
2026-03-01,84813810000.0,69594924389.41791
2026-04-01,85811990000.0,75200208578.62604
